Unnamed: 0,title,artist,lyrics
1168,Ivan El Chapito,Enigma Porteño,"yo soy el chapito yo tambien le entro al trabajo
son las enseñansas que me dio mi padre el chapo
tengo relaciones que ise por mi propia cuenta
ago aclaraciones ajusto una que otra cuenta
ya saben mi nombre y aqui vengo a repetirlo
soy ivan guzman el que estuvo en el presidio
tuve cicatrices cicatrices muy marcadas
eso del pasado ahora es pruba superada
antes era un niño ahora yo soy todo un hombre
si estoy en la mafia no es por manda ni por orden
me gusta lo bueno y nunca soy despreciativo
musica y mujeres y los carros deportivos
aveces yo tomo no lo niego y no es delito
pero no acostumbro por andar perdiendo el piso
tengo a un hermano que es amigo inseparable
el es alfredito hermano de padre y madre
le mando un abrazo al trebol de buena suerte
es mi compadrito compadrito hasta la muerte
yo traigo mi escolta portan r15 y cuerno
traigo mi pistola y no la traigo de adorno
si ando en la blindada que sea blindaje del 7
no quiero sorpresas quiero a todos bien pendientes
los radios anuncias lo que vaya sucediendo
por si en el camino andan contras o gobierno
cuando ago las cosas procuro hacerlas bien
lo mejor posible pa que todo marche al cien
ahi que ser humilde se los dejo de tarea
todos somos iguales aunque ustedes no lo crean
yo soy el muchacho que un tiempo anduvo ausente
pero ahora aqui estamos y estamos aun mas fuertes
ahi lo necesario para cualquier imprevisto
para un viaje largo el avion siempre esta listo
cuando estoy sonriendo es porque tengo mis motivos
en culiacan mi tierra yo tengo muchos amigos
soy ivan guzman no se vayan a enrredar
ivan archivaldo hijo del chapo guzman"
1169,Ivan Y Vienen,Enigma Porteño,"ivan y vienen rumores salen
de que a mi padre los militares
aún lo buscan y lo persiguen
archi enemigos el ha tenido
y sin embargo nunca han podido
debilitar gavilla y equipo
yo brinco y bailo cuando me enfiesto
igual que mi padre que es mi maestro
soy bailador de herencia por cierto
soy sencillito y no ando con panchos
si quieren saber como me llamo
soy el chapito iván archivaldo
mando un saludo a mis camaradas
de culiacán y guadalajara
se que esta al cien toda la plebada
al mil con el comandante antrax
con pancho arce y toda su raza
y con los hijos del mayo zambada
con gran honor y con orgullo
porto en mis venas el apellido
soy un guzmán y claro lo digo
soy un chapito y no soy cualquiera
y soy hijo de joaquín loera
rey de montañas brechas y cuevas
pero que vueltas tiene la vida
no cabe duda que dios castiga
esa injusticia no se me olvida
fueron tres años los que me hecharon
y algunas cosas que me achacaron
varios han sido ejecutados
quiero escuchar corridos de altura
como ese del niño de la tuna
preocupaciones no tengo ninguna
que se venga alfredito mi hermano
para brindar y seguir pisteando
asi dice iván archivaldo"
1170,IVANA part Adrian L Santos,Santiago Jimenez,"ivana que lindos nuestros momentos
pocos vivimos
para qué hacerme perder el tiempo ? 
si a fin de cuentas se murió en el intento
baby lo siento
que no era lo que esperabas en un tipo
pero por qué esperaste a que me enculara ? 
neta que eres mala ah
ivana son lindos nuestros momentos pocos vivimos
pero ni modo terminé solo oh oh
y si te quisiste marchaaar
no me vuelvas a buscar no me interesa eres muy fresa
el ramo que él te regaló oh
parece de adorno oh
no me interesa nomás das pena ah ah
y esta
se canta se baila y se llora
y te di tanto amor
que no supiste qué hacer con él chiquita
dímelo compa adrian
compa santi
no pudiste esperarme pero
decías que tú a mí sí me querías puras mentiras
pasó una extraña en el pasillo
lo extraño es que yo la conocía ah ah
era mía ah ah
ivana son lindos nuestros momentos pocos vivimos
pero ni modo terminé solo oh
y si te quisiste marchaaar
no me vuelvas a buscar no me interesa eres muy fresa
el ramo que él te regaló oh
parece de adorno oh
no me interesa nomás das pena ah ah ahahah
nomás das pena
desde la isla"
1171,IVANA,Carlos Tellez,"ivana
decirte que tu
nombre yo
grite
ivana
contarte que
borracho te
pensé
ivana tú
cuento sé
acabo tu por
infiel
me tomaste a
juego hoy
perdiste game
over
no diré tu nombre porque ya lo dije
que se cuide el otro porque dios maldice
al ponerte encima descubrí que el karma existe
eres inmadura
y ahora el
tiempo me
salvo
quito de mi
vida ah ese
alguien que no
amo
hoy vienes
buscando que
regrese por
favor
no diré tu nombre porque ya lo dije
que se cuide el otro porque dios maldice
al ponerte encima descubrí que el karma existe"
1172,Jalo y Exhalo part  David Bernal y Ruben Figueroa,T3R Elemento,"el tiempo se me va volando cuando me prendo un blunt
siempre tranquilón me la navego
lumbre al gallo le jalo y exhalo me llena el pulmón
el humito gris me está elevando
prendan las turbinas que me quiero subir al avión
cierro los ojos después un jalón
a gusto siempre me verán que ando disfrutando
ramita verde que me pone la mente en blanco
cookies voy llegando de lo mejor del mercado
en un joint dorado me verán forjando
las pupilas dilatadas bien sonámbulo ando yo
2020 voy junto a mi clickón
vecinos preguntan de dónde sale el humaderón
es de mi cantón estoy quemando
que soy mala influencia que a sus hijos los voy a enviciar
si supieran que ellos la venden
en el barrio me apodan los cholos el rey verde
ni un tostón se vende sin que yo lo apruebe
ahorita ando dando el rol despejando la mente
semáforo en verde se va la cheyenne"
1173,Javier El de Los Llanos,Calibre 50,"como estas tomas aquí todo al 100
qué gusto escucharte espero que esté bien
que dice la raza allá en coyay
tu gente pregunta cuándo volverás ? 
te acuerdas de aquel potrillo español
qué bueno es paral baile salió un caballón
como extraño el rancho y el olor a hierbas
dormir en el campo bajo las estrellas
los días donde caminaba entre las veredas
con mis armas largas
peinando la sierra levantando polvo
cuidando mi tierra
una banda que me dé la bienvenida
un abrazo que me cure las heridas
los tiempos malos ya pasaron
soy javier y he regresado porque ahora
ahora va la mía
tengo canas y no las tengo por viejo
traigo ganas de chambear y no derecho
que no se les haga extraño
se los juro este es mi año
que si vuelvo vuelvo por el mando
se los dice javiercito
javier torres de los llanos
puro calibre 50 mi amigo
los días donde caminaba entre las veredas
con mis armas largas
peinando la sierra levantando polvo
cuidando mi tierra
una banda que me dé la bienvenida
un abrazo que me cure las heridas
los tiempos malos ya pasaron
soy javier y he regresado porque ahora
ahora va la mía
tengo canas y no las tengo por viejo
traigo ganas de chambear y no derecho
que no se les haga extraño
se los juro este es mi año
que si vuelvo vuelvo por el mando
se los dice javiercito
javier torres de los llanos"
1174,Jesus Peña,Enigma Porteño,"caballeroso el muchachoo
con las damas el mejor
responsable del trabajo
siempre a la orden del señor
asi es mi compa 20
hombre de mucho valor
el peña le dicen todos
sus amigos qke lo estiman
fue criado alla en tierra blanca
desde humilde nayarita
su trabajo le a costado
llegar dond el esta ahorita
de caracter es trankilo
el nunka se anda enrredando
nomas no le busque plebes
pues tambien sabe ser bravo
de testigo esta un chamuko
que siempre trae x un lado
recuerda mucho a un amigo
de esos qke poko se dan
me refiero a javier diaz
no se le sabia rajar
ese tigre era pintito
era hijo de baltazar
en su korason la aguarda
en su mente siempre esta
su madresita querida
qke nunka la a de olvidar
sus konsejos siempre sabios
al niño lo supo guiar
juntense enigma norteño
tokenme prieto crispin
y ese corridoo del lobo
va a empesarme a divertir
qke destapen las buchanan`s
barbis estan x venir
el peña es muy querido
x la plebada y su gente
y si algo se ofreciera
la ""m"" sabe responderle
pues se gano su konfianza
y el joven se lo agradece
se despide el compa 20
ya se komienza a actibar
cuernitolanzagranadas
no me a sabido fallar
al señor mayo zambada
siempre lo he de resguardar"
1175,Jimenez,Grupo Arriesgado,"luz aire agua y comenzamos
todo está bien coordinado
rama verde la sembramos
pacas verdes le sacamos
mota computarizada calidad garantizada
aquí no damos cochinadas pura buena y de la cara
me la llevo tranquilito son muy pocos mis amigos
paso firme vista fija persigo mis objetivos
me encomiendo a san juditas ese viejo no se agüita
sea en las buenas o en las malas en la noche y en el día
peluche abraham me acompañan para lo que ocupe no falla
por el área 661 para los ángeles hay maña
son los gajes del oficio que ahorita ando manejando
para quitarles el pendiente soy jiménez mis chavalos
vámonos para california parientes
que así suena
arriesgado compa
a gusto por la cañada me acompaña la plebada
con un r15 al pecho y la super colt bien fajada
de repente agarró viada y ahora si nadie me para
las tacomas enlodadas las rutas también me agradan
si algo le tira le pegas hay que apuchar la carreta
y entre más agua a la mata mejor sale la cosecha
alto güero y pelo negro con las damas caballero
cómo amigo soy sincero por las buenas soy muy bueno
aquí anda mi compa lupe usted viejo no se preocupe
y es que yo siempre lo supe respinga cuando lo ocupe
me despido mis amigos un gusto haber coincidido
saludos para culiacán ahí en cualquier rato los visito"
1176,Joven Sinaloense,Banda Culiacancito,"es un joven sinaloense tiene grandes apellidos
que no le aah salido todo y quitarlo no aan podido
tiene amigos donde quiera por ellos bien protegido
su padre es un hombre serio su madre una gran mujer
los hermanos ya se fueron desde el cielo estan con el
tiene otro hermano mas chico me reservo su poder
una vez que lo agarraron en la perla tapatia
militares disfrazados con ropas de enfermeria
en el hospital del carmen maraquea se escaparia
ya agarraron a su jente no se la quisieron dar
y le dijo al comandante usted me insita a peliar
por mi jente doy la vida se lo voy a demostrar
otra mancha mas al tigre cuando menos lo esperaba
con rifles m60 y tambien lanzagrandasz
brincaron a la oficina con ropa camuflajeada
no se mueva comandante que no lo quiero matar
lo que digo se lo cumplo aqui lo voy a amarrar
sin dinero vaila el perro por la fueza mucho mas
para que quieres blindados si un dia te vas a bajar
le dijo a su hermano un dia a ti te encanta peliar
mejor vete pa otro sitio yo me quedo en tu lugar
an echo muchos corridos para algunos muy echones
no se encajan ni una abuja y presumen ser matones
este si dice verdades no como otros fanfarrones
como extraño a mi familia y a mi mexico querido
ahi les encargo a mis hijos los tengan bien protegidos
yo sigo dejando huella por diferentes caminos"
1177,Juan Colorado,El Rey Vicente Fernández Serie de Televisión,"juan colorado me llamo
soy señores de michoacán
y hasta los más salidores
al mirarme mustios se van
traigo en mi cuaco una silla
que es de cuero plata y marfil
y dos pistolas al cinto para
aquel que no entre al redil
que viva mi tierra michoacán
que traigan charanda para brindar
que juan colorado aquí está ya
montando en su cuaco el huracán
por las montañas y valles
en mi cuaco cruzó veloz
y en cada pueblo que paso
siempre dejo vivo un amor
cuando me encuentro un resuelto
que de frente quiera pelear
con mi pistola o machete
y con mi suerte yo he de ganar
que viva mi tierra michoacán
que traigan charanda para brindar
que juan colorado aquí está ya
montado en su cuaco el huracán
ya se va juan colorado
ya los vino aquí a saludar
el que lo busque lo encuentra
por el rumbo de apatzingán
siempre buscando aventuras
voy deseoso con ciego afán
por esos campos floridos
de mi tierra que es michoacán
que viva mi tierra michoacán
que traigan charanda para brindar
que juan colorado ya se va
montado en su cuaco el huracán
que viva mi tierra michoacán
que traigan charanda para brindar
que juan colorado ya se va
montado en su cuaco el huracán"
1178,Juan José Esparragoza El Azul,Los Nuevos Rebeldes,"me dicen pionero de la vieja historia
y vengo desde el ranchito de huxiopa
rumbo a sinaloa chihuahua y durango
conozco muy bien el triángulo dorado
conocí almoloya y reclusorio sur
camine en la sombra y llegué hasta la luz
me visto de azul de cabeza a los pies
me dicen don juaaan mi nombre es juan joseee
el zar de la mafia así me han nombrado
el decano de los capos mexicanos
el dolor me mata pero sigo vivo
me duele bastante que no estén mis hijos
mi hijo juan ignacio y mi hijo rosalío
fueron al llamado que el señor les hizo
los extraño mucho pero seré fuerte
los guardaré en mi corazón para siempre
me crié en el negocio de la delincuencia
pero en realidad yo no soy de violencia
he sobre vivido a todas las guerras
tratando de que se respeten las reglas
levante un imperio sin usar las armas
yo me identificó más con mis palabras
con las adecuadas se arreglan problemas
y con las correctas he pactado treguas
recuerdo los tiempos de aquellos amigos
el jefe de jefes amado carrillo
mi compadre luis el comandante fuentes
y también su hermano el gran chico fuentes
de los grandes jefes esos grandes viejos
como el güero palma y el señor don neto
inés calderón y el compa balta díaz
también rafa caro y a emilio quintero
quisiera contarles todo de mi vida
mi leyenda es larga nunca acabaría
he visto como se derrumban carteles
igual he visto crecer a mucha gente
aquí los errores son irrevocables
y quien me traiciona ya es punto y aparte
como vio compadre a mi no me tocaba
tiene mi perdón yo en verdad lo estimaba
mi compadre mayo un verdadero amigo
también cuento con mi compadre chapito
y tu rey de reyes vamos pa delante
gracias matamoros tu un día me salvaste
los capos de capos los jefes de jefes
somos los que estamos y estarán para siempre
saludo al que esta y recuerdo al que se fue
entre ellos mi amigo nacho coronel
de forma adecuada y frases adecuadas
he logrado fortalecer a mi raza
sobre mi experiencia dentro del reinado
conozco muy bien todo el mundo del narco
soy el mediador de los grandes carteles
soy el comodín entre un pokar de reyes
me dicen azul por mi tono de piel
pa unos soy don juaaan pa otros soy juan joseee"
1179,Juan Machado,Adan Chalino Sanchez,"al cantar este corrido
me encuentro desesperado
de un toro de el comedero
por todos muy respetado
ansí comienza la historia
del amigo juan machado
él radica en california
el dinero le ha gustado
las hembras ya ni se diga
pues es muy enamorado
la que no quiere a la buena
a fuerzas se la ha llevado
en una ranger de lujo
linda y muy bien equipada
él se pasea muy tranquilo
porque no le teme a nada
con su texana de lado
y su pistola fajada
estado de sinaloa
tú si tienes buena fama
de ti nacieron los hombres
que saben ganar la lana
burlando la vigilancia
las fronteras y aduanas
le gusta jalar la banda
eso dice no lo niego ? 
dice juanito machado
para algo se hizo el dinero
que cante chalino sánchez
versos de tino quintero
en todas sus lindas joyas
él trae su nombre grabado
las cachas de su pistola
de diamantes trae bañado
se siente muy orgulloso
de sinaloa su estado
vuela gavilán del norte
y ponte muy abusado
ve avisar a el comedero
y a culiacán que está a un lado
que se despide de todos
el amigo juan machado"
1180,Juan Pablo Quintero,Enigma Porteño,"volando sus avionetaz
siempre llegando pirmero
pilotiando sus turbinaz
abriendo brechaz al cielo
ez el amo de loz airez
eze ez
juan pablo quintero
heredo universal komo una bala expanziva
de kable kon fidenzial y de braba dinastia
por zuz venaz an guerriado del paro de ema bonita
de kolombia a zinaloa ze avento un vieje ezpecial
el tiempo se mide en horaz y loz metroz hay demaz
noz veremoz en la igriega deiganle al aguila real
hay problemaz en la pizta por el aire le informavan
zera mejor zii aterrizaz el koronel lo hordenaba
no kreo ke puedaz volar zii te kortamoz laz alaz
"" i aileva pa todoz loz pilotoz ke ze la rrifan en el aire
puro enigma norteño hay otro""
piloto experimentado ze lez perdio en el radar
no me importa su alto rango le kontezto al militar
kuando buzkez aya arriba yo ya estare en kuliakan
laz armaz no azen al hombre la fe mueve laz montañaz
el alko juzga orizonte la fiezta estaba planiada
los norteñoz toke y toke ze fuman la madrugada
ze ven volar avionetaz kon zukurzal en el cielo
para amarranle sobre cuerda el trono ya tiene
dueño granada zin ezpoleta azi es
juan pablo quintero"
1181,Juan Ramos,Los Incomparables de Tijuana,"jefe de nuevo laredo
tan pronto se le olvidó
que andábamos de pateros
hace tiempo usted y yo
ganándonos el dinero
traicionando a la nación
hoy porque trae uniforme
y trae la ley en las manos
se olvida que yo fui el hombre
que una vez le dio la mano
cuando la lancha en que andaba
se volcó y se andaba ahogando
no me recuerde el pasado
ya tengo mucho dinero
ni me gusta el contrabando
ahora tengo muy buen puesto
te iba a llevar prisionero
pero te prefiero muerto
sabe que estoy desarmado
de eso no tenga pendiente
con morirme había soñado
en las manos de un valiente
y que ganará otro grado
que luciera ante su gente
a su pistola echo mano
matándolo a sangre fría
cayó bien muerto juan ramos
y en su rostro se veía
como que se estaba riendo
de lo que él nunca creía
luego que ya lo mató
se quedó muy pensativo
y se apuntó al corazón
también pegándose un tiro
para que quiero la vida
si he matado a un gran amigo ? "
1182,Juego De Feria part Matisse,Nathan Galante,"como una montaña rusa
tu amor me subió hasta el cielo
y luego me bajó de una
hoy por ti estoy en el suelo
la rueda de la fortuna
desafortunadamente
solo giró para ti
como juego de feria
jugaste conmigo y perdí
ahora cómo me olvido de ti
de tus besos
de todo eso que sentí ? 
como juego de feria
le atinaste a mi corazón
con tus dardos en forma de adiós
y me duele
que el por siempre no llegó
como juego de feria
aquí tu payaso fui yo
como juego de feria
jugaste conmigo y perdí
y ahora cómo me olvidó de ti
de tus besos
de todo eso que sentí ? 
como juego de feria
le atinaste mi corazón
con tus dardos en forma de adiós
y me duele
y me duele
que el por siempre
que el por siempre
no llegó
como juego de feria
aquí tu payaso fui yo"
1183,Juicio Final,Clika Los Necios,"saben que soy muy derecho
porque me traicionan ahora tengo que cobrar
todas las cuentas pendientes
en un solo dia me van a pagar
todos aquellos insultos
que ya me causaron van a lamentar
van a conocer el infierno
el diablo en persona se los voy a presentar
y quiero aclararles algo
ya no hay retorno lo echo echo esta
y no busco su dinero
me pagan con sangre eso es personal
tanto tiempo en el negocio
subiendo y luchando para una meta alcanzar
y aunque unas gentes corrientes
quisieron tumbarme y tal vez sepultar
pero aun no me ha tocado
seguiré luchando hasta el final
dos grandes personajes
me dieron su mano no los voy a defraudar
mi conciencia muy tranquila
mi palabra firme y así seguirá
búsquenle por donde quiera
nada me detiene puedo asegurar
no dejo muy bien mi nombre
mi clave mi escudo pero pronto lo sabrán
corre sangre por mis venas
de un asesino peor que satanás
varios están sentenciados
tengo en mis manos el juicio final
tanto tiempo en el negocio
subiendo y luchando para una meta alcanzar
y aunque unas gentes corrientes
quisieron tumbarme y tal vez sepultar
pero aun no me ha tocado
seguiré luchando hasta el final"
1184,Julio Beltran,Enigma Porteño,"milicias y militares
estaban en culiacan
buscando armas y drogas
con retenes en su plan
con tanto perativo
matan a julio beltran
siempre una portuna grande
a todos les trae problema
y luego amazo sus manos
un mundo de gran riquzaz
junto a adolfo su hermano
demostraron su firmeza
de durango a sinaloa
demostro todo el poder
policias y pistoleros
al servicio siempre de el
julio beltran qintero
principe del cartel
la agencia del artepol
ya lo tenia señalado
por traer de lo mejor
en colombia cosechado
se hizo todo un varon
muy grande y respetado
tomaba sus precauciones
pues no era hombre de fiar
pero le seguian sus pasos
pues lo tenian qe ultimar
sentencia de mafia grande
qe no podia fallar
nadie compra su suerte
aqi qedo demostrado
julio beltran y su gente
al tiros"
1185,Julio Beltran,Los Obreros Del Norte,"rafagas de rey de cuerno
otra vez se oyen sonar
los gallos ya no cantaron
se pusieron a llorar
cuando oyeron la noticia
que en culiacan capital
en forma muy alebosa
matan a julio beltran
no le dieron tiempo a nada
porque el miedo era muy grande
mas de 300 balazos
dispararon los cobardes
no respetaron al jefe
se volaron el alambre
ponganse trucha mis compas
anda muy duro el enjambre
dicen que el mayo zambada
los guzman y los beltran
y el jabali esta muy triste
siempre te han de recordar
por jugueton y travieso
mucho mas te han de extrañar
en tu tumba con tristesa
se pusieron ha llorar
les van a tirar con leña
no se la van a acabar
empesaron los ajustes
de mexico a culiacan
anda la gallada brava
y andan listo pa pelear
jalenle la cuerda al trompo
si es que lo saben bailar
julio con su cuerno egipcio
no les pudo disparar
le ganaron la partida
comoo al gallo de san juan
cayo como caen los grandes
y el era grande en verdad
compadrito del mochomo
tambien del chapo guzman
a mi obreros del norte
no lo quiero ver llorar
aunque llore compa riumas
canten la de mi carnal
y el secuestro de mi madre
y que no vaya a fallar
mi cancion el despreciado
no se les vaya a olvidar"
1186,Junto a Ti,DannyLux,"cambiaste mi vida entera
por vez primera
no tengo penas
simplemente me vuelves loco
poco a poco
a tu antojo
buenas o malas
nunca me fallas
y eso me encanta
sabes bien te adoro
a cualquier hora
tú me apasionas
si tú no estás soy un desierto
tus labios rojos
dan un antojo
que no puedo
yo negarlo
y hoy gracias a ti
yo puedo decir
que soy feliz
junto a ti
yo sé que no soy perfecto
y lo acepto pero te quiero
y creo que eso vale más
que mis defectos
tú sabes eso
contigo siento que estoy completo
ahora sé que es amor verdadero
cuando me miras
con alegría
aún no creo que eres mía
tus labios rojos
dan un antojo
que no puedo
yo negarlo
hoy gracias a ti
yo puedo decir
que soy feliz
junto a ti"
1187,Juré Venganza,Calle 24,"vieron su rostro agonizando y aun así lo fusilaron
qué podría esperarme a mí ? 
dijeron ya está desahuciado
se fueron no me mataron
y es donde empecé a vivir
juré venganza de esa matanza
mi carnalito no merecía lo que hicieron
qué es lo qué pasa ?  vente a la casa
decía mi madre mientras se tiraba al suelo
mijo qué hiciste ? 
dice tu padre que afuera hay gente de negro
mijo qué hiciste ? 
pues se bajaron y empezaron a abrir fuego
y lo que estaba pasando
es que la vida de mi carnal les estaba cobrando
pura mafia de la calle compadre
pura calle 24 viejones
juré venganza ya no habrá alianza
con dolor y coraje detonaré el fierro
hay esperanzas huía de casa
los vi de lejos y aquí los vengo siguiendo
sé que me viste
antes de jalar el gatillo de mi cuerno
sé que me viste
y que supiste que yo te mandé al infierno
y en esta vida todo lo que haces se paga
bueno o malo
tarde o temprano te llega el karma
y sigue la historia"
1188,J,Ivan Cornejo,"yo era tu vaso cuando tenías sed
como en la mañana yo era tu café
yo era una abeja y tú eras mi miel
conectamos bien te lo juro bebé
yo te levantaba con tanto amor
yo te ayudaba a olvidar el dolor
yo fui el primero con verdadero amor
el que te enseñó mejor
donde quiera que yo voy yo siempre te veo
tú eras mi gran adicción mi droga yo era tu fuego
quiero que te trate con respeto ese pendejo
mi amor no se acaba porque está hecho de fuego
donde quiera que yo voy yo siempre te veo
tú eras mi gran adicción mi droga yo era tu fuego
quiero que te trate con respeto ese pendejo
mi amor no se acaba porque está hecho de fuego
porque está hecho de fuego
quisiera empezar otro capítulo contigo
yo sé que es imposible pero nunca me rajaré
en encontrarte otra vez
y poderte amarte como antes
qué triste me dejaste con las ganas
pensé que era tú y yo hasta el final
ay cómo quisiera presumirte a mis papás
porque sé cuánto ellos te iban a amar
donde quiera que yo voy yo siempre te veo
tú eras mi gran adicción mi droga yo era tu fuego
quiero que te trate con respeto ese pendejo
mi amor no se acaba porque está hecho de fuego
porque está hecho de fuego"
1189,Jálale alv part Bb trickz,Kevin AMF,"te me— te me— te me— te me— te me— te me—
te me— te me— te meto la le— le meto la lengua
méte— méte— méteméteméteme la le— méteme la lengua
jálale a la ver— como metralle—
jájálale a la ver— como metralle—
jájálale a la verga como metralleta
uno dos tres cuatro soy la mera verga
tiqui taca toco comoquiera yo la choco
rom piqui pompom si me gusta te lo robo
tiqui taca toco comoquiera yo la choco
rom piqui pompompom me lo como ñam
vamos para la party fumo pura mari
con esa faldita me pongo bien happy
me encantas más que una hpnotiq
mi jale pégale al molly
soy la más mala y la más princesa
llévame a culichi llévame de fiesta
págalo tú pero yo tengo mi feria
me gustas más que mi novio la neta
te meto la— le meto la— le meto la lengua
méteme la— méteme la— méteme la lengua
te meto la— le meto la— le meto la lengua
méteme la— méteme la— méteme la lengua
jálale a la ver— como metralle—
jájálale a la ver— como metralle—
jájálale a la verga como metralleta
uno dos tres cuatro soy la mera verga
tiqui taca toco comoquiera yo la choco
rom piqui pompom si me gusta te lo robo
tiqui taca toco comoquiera yo la choco
rom piqui pompompom me lo como
yo sé que te picapica
rack en la mochilachila
te lo dije ya ponte las pilas
son dos años de tu vida
lo que llevo muñequita
no me hagas la pelota yo no juego al fifa
ay y si te doy con este flow ? 
me gustan güeritos con un porte belicón
ayay y a ti qué te dicen mi amor ? 
me gustan fresones que tomen dom pérignon
te meto la— le meto la— le meto la lengua
méteme la— méteme la— méteme la lengua
te meto la— le meto la— le meto la lengua
méteme la— méteme la— méteme la lengua
brr y es su compa kevin con la bb trickz
au
brrbrr
que si la foto en parís
o la foto con bb trickz
los más fresones
compa kevin
con la compa trickz mua
jálale a la ver— como metralle—
jájálale a la ver— como metralle—
jájálale a la verga como metralleta
uno dos tres cuatro soy la mera verga
tiqui taca toco comoquiera yo la choco
rom piqui pompom si me gusta te lo robo
tiqui taca toco comoquiera yo la choco
rom piqui pompompom me lo como ñam"
1190,Kamikaze part Victor Mendivil,Natanael Cano,"it's wicked outside
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cuernos largos que cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
casco capuchas la ropa camuflajeada
puro kamikaze escuela militarizada
sacando chapulines en semefo y ambulancia
caravanas empotradas volando el tostón de banda
qué onda ?  van más chapulines para la fosa
trucha con la maña al estilo la cosa nostra
fuga para san pedro para que truene la mojosa
dos pelotas de lavada y relumbra la superona
cuernos largos aquí hay munición a lo bastardo
me gusta la guerra y puro chavalo jalado
el puesto que me dieron gané a punta de balazo
más de cien empecherados al frente de mi comando
ando como talibán bien monta'o en un canam
bien placoso me verán no me importa el qué dirán
los diamantes me brillan quieren tumbar no podrán
cargo equipo militar y un pericón para inhalar
chapulín que me topo chapulín que va paral hoyo
si se arma el cagadero en corto me llega el apoyo
vato cagazón mejor túmbese ese rollo
y me río de ellos cuando a su morra me follo
qué pues a la verga ?  con el cuernito rameado
paso en trx y atrás vienen cuatro carros
los cholos que me cuidan criado en puros barrios bajos
y en el jet para la navaja cuando se calienta el rancho
y ando peleando la causa de altos mandos
firme y en la rueda la gente del calendario
pónganse bien buzos si andan haciendo sus panchos
que se los lleva la verga y truenan los rifles de asalto
dímelo montana
dile a estos cabrones que la película sigue siendo la misma
lo que cambiaron son los protagonistas
y arriba la bandera con los santos uh
y puros corridos tumbados con los santos ah
ey
a capela a capela nomás la dejo caer
si me miran en un hellcat o en un porsche gt3
weissach porque cargo para eso y más
y uno que otro blindado pero eso los traigo atrás
capitanes con rango de generales
y en la bolsa guardada el uzi por si salen planes
teléfono encriptado y un par de tumba señales
fusiles largos cortos los plebes ya se la saben
pendiente al radio anillos asegurados
topando de civiles con la guardia y los soldados
cromándose en las duras levantando y fusilando
que me quiere el gobierno pero no se les ha dado
cuernos largos parque y munición a lo bastardo
me gusta la guerra y puro chavalo jalado
el puesto que me dieron gané a punta de vergazo
más de cien empecherados al frente de mi comando
y pues cómo vergas ven que en caliente yo les brinco
salgo encapuchado en los vídeos del c5
pues qué onda ?  ahora es maserati antes honda
parque ilimitado como en warzone les peleo varias rondas
fuerzas tácticas de alguien que allá es muy mentado
y nomás para que sepan trae sonora controlado
pura historia de años lean en la biblioteca
los guerreros que mandan traen a full la sangre azteca
pues a huevo mi apá tengo a toda una cuadrilla
con las carrilleras bien terciadas al estilo pancho villa
sáquense a la verga que tengo un puesto de huevos
puro rifle ruso puro aparatito nuevo
y que unos cuernos largos que carga toda la plebada
pelotas de bombón y mota de la recetada
se mueven en cheyennes con la empresa rotulada
con máscaras del guasón o con capuchas de calacas
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
y bien jalapeño mi viejo
wuhuh
ah
ey
ah ah ah ah"
1191,Kamikaze,Gangy,"cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cascos capuchas
la ropa camuflajeada
puro kamikaze
escuela militarizada
sacando chapulines en semefo y ambulancia
caravanas empotradas
volando el tostón de banda
qué onda ? 
van más chapulines para la fosa
trucha con la maña
al estilo la cosa nostra
fuga para san pedro
para que truene la mojosa
dos pelotas de lavada
y relumbra la superona
más largos aquí hay munición a lo bastardo
me gusta la guerra y puro chavalo jalado
el puesto que me dieron gané a punta de balazo
más de 100 empecherados al frente de mi comando
qué pues ? 
a la verga con el cuernito rameado
paso en trx y atrás vienen cuatro carros
los cholos que me cuidan criados en puros barrios bajos
y en el yet para la navaja cuando se calienta el rancho
y ando peleando la causa de altos mandos
firme y a la rueda la gente del calendario
pónganse bien buzos si andan haciendo sus panchos
qué se los lleva la verga
y truenan los rifles de asalto
dímelo montana
dile a estos cabrones qué la película sigue siendo la misma
los que cambiaron son los protagonistas
arriba la bandera
con los santos
wooh
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón
cuernos largos se cargan los plebes
las caravanas sembrando el terror
y voy fumándome un gallo de mota
adentro de la troca un humaderón"
