Unnamed: 0,title,artist,lyrics
46,A Primera Vista,Negro Peregrino,"te vi una noche de luna
besando una rosa
el cielo bordado de estrellas
te hacia mas hermosa
sentí una profunda emoción
aunque no lo quieras creer
me robaste el corazón
divina mujer
tus cabellos lindos
tus ojos divinos
tu boca preciosa
color carmesí
me dejaron loco
desde que te vi
es inconcebible
que en tan corto tiempo
yo pueda quererte te preguntare
eso te lo digo porque es la verdad
te quiero con toda mi alma
te adoro con todo mi ser
yo soy hombre que te ama
y tu eres todo mi querer
desde aquel instante
en que tu me miraste
con tus lindos ojos
nació mi querer
fue a primera vista
que nació el amor"
47,A Puro Dolor,La Gran Novedad de Mexico,"perdona si te estoy llamando en este momento
pero me hacia falta escuchar de nuevo
aunque sea un instante tu respiracion
disculpa se que estoy violando nuestro juramento
se que estas con alguien que no es el momento
pero hay algo urgente que decirte este hoy
me estoy muriendo muriendo por verte
agonizando muy lento y muy fuerte
vida devuelveme mis fantasias
mis ganas de vivir la vida
devuelveme el aire
cariño mio sin ti yo me siento vacio
las tardes son un laberinto
las noches me saben
a puro dolor
""con cariño para ti y esto es
la gran novedad de mexico
puro amor y orale primo""
quisiera decirte que hoy estoy de maravilla
que no me ha afectado lo de tu partida
pero con un dedo no se tapa el sol
m estoy muriendo muriendo por verte
agonizando muy lento y muy fuerte
vida devuelveme mis fantasias
mis ganas de vivir la vida
devuelveme el aire
cariño mio sin ti yo me siento vacio
las tardes son un laberinto
las noches me saben
a puro dolor
vida devuelveme mis fantasias
mis ganas de vivir la vida
devuelveme el aire
cariño mio sin ti yo me siento vacio
las tardes son un laberinto
las noches me saben
a puro dolor
vida"
48,A Que Le Tiras,La Pandilla Del Rio Bravo,"a que le tiras mujer a que le tiras
son tus mentiras un veneno mortal
se te hace poco salir con otro
pierdes tu tiempo ni los cuernos me hacen mal
a que le tiras mujer a que le tiras
con tus mentiras nada vas a lograr
ya me cansaste ya no te quiero
yo lo que quiero es nunca mas volverte a ver
no es necesario que des explicaciones
tengo razones para decirte adiós
tamaños cuernos me traen medio ladeado
ya estoy cansado de esta horrible situación
a que le tiras mujer a que le tiras
por tus mentiras ya todo termino
si un día te quise maldigo ese momento
ese momento en que me enamore de ti"
49,A Que Sabes part Tito Double P,Lenin Ramírez,"otra noche solo pero ni tú ni yo
queremos aceptar que ya no funciono
el caro trae tu olor y es pura tentación
de hablarte otra vez borracho recordé
tu fecha de cumpleaños el día de aniversario
las flores hasta el rosario me dejan sin comentarios
tú perreando y yo agüitado
cómo fingir con mis compas que me va bien sin ti
ya le hice la lucha pero no he podido olvidarte
a que sabes y luego luego comencé a soñarte
y ni para qué contarte los detallеs
tú bien sabes
la neta como yo no hay quiеn te lo hace
jajai
y jálese compa tito double p
puro paradelante viejo
jálese compa
se terminó y recuerdo todo cuando comenzó
si no eran más de cinco no lo hacíamos
pero son solo recuerdos nada quedó de lo que pasó
hay que aceptar
me ven con morras pero no hay más
ya no sé ni qué está bien ni qué está mal
ni pidiendo a dios con rezos me olvido de todo eso
porque siempre vuelvo y pienso
a que sabes y luego luego comencé a soñarte
y ni para qué contarte los detalles
tú bien sabes
la neta como yo no hay quien te lo hace"
50,A Que Te Sabe El Amor Sin Mi,Sangre Felina,"desde que
te fuiste
te miras
muy triste
a pesar
de contar
que otro
cariño
te hizo
olvidarme
que a diario
derrochas
felicidad
porque
me presumes
la gloria
que tienes
si nada
es verdad
yo sé
que te duele
a verme
dejado
y nuestro
pasado
extrañarás
a que
te sabe
el amor
sin mí
sin las caricias
que yo
te daba
sin tocarte
tu cuerpo
y hacerte
el amor
como
te gustaba
pero
por vanidad
te salieron
alas
porque
me presumes
la gloria
que tienes
si nada
es verdad
yo sé
que te duele
a verme
dejado
y nuestro
pasado
extrañarás
a que
te sabe
el amor
sin mí
todas
tus noches
serán
muy frías
mi recuerdo
en tu mente
dirá
para siempre
que yo
te quería
y que
no encontrarás
lo que
en mí tenías
y que
no encontrarás
lo que
en mí tenías"
51,A Quien Iré,Grupo Redención,"cada vez que siento desmayar
puedo sentir que ahí estás tú
cuando siento que no puedo más
tú me das fuerzas para continuar
a quien iré si solamente en ti
pude encontrar felicidad
he comprendido que nada se mueve
si no es tu voluntad
a quién iré ?  sí solo tú tienes palabras
que me dan paz y me dan felicidad
palabras de amor palabras que llegan al corazón
y me hacen sentir querer estar siempre junto a ti
me has demostrado que tu jamás me fallaras
te seguiré sin importar lo que tenga que pasar
a quien iré si solamente en ti
pude encontrar felicidad
he comprendido que nada se mueve
si no es tu voluntad"
52,A Quien Quiero Engañar,Conjunto Atardecer,"quisiera decirte que no me has afectado en nada
que no me interesa hacerte una llamada
para oír tu voz y saber que estas bien
quisiera decirte que ya has quedado en el pasado
que no me interesa tenerte a mi lado
y que de tus besos ya ni me acorde
que ahora vivo entre risas y alegrías
que no me ha afectado lo de tu partida
y que de esta herida muy pronto sane
a quien quiero engañar diciendo que ya te olvide
que ya no extraño nada las cosas de ayer
que ahora estoy muy contento y que ya no te extraño
a quien voy adorar ahora que tu ya te has ido
y que me has dejado solo en el olvido
la verdad es triste que te estoy llorando
porque te amo mas que ayer
quisiera decirte que ya has quedado en el pasado
que no me interesa tenerte a mi lado
y que de tus besos ya ni me acorde
que ahora vivo entre risas y alegrías
que no me ha afectado lo de tu partida
y que de esta herida muy pronto sane
a quien quiero engañar diciendo que ya te olvide
que ya no extraño nada las cosas de ayer
que ahora estoy muy contento y que ya no te extraño
a quien voy adorar ahora que tu ya te has ido
y que me has dejado solo en el olvido
la verdad es triste que te estoy llorando
porque te amo mas que ayer
porque te amo mas que ayer
te amo mas que ayer"
54,A Solas Con La Botella,Christian Nodal,"quién recorrerá mi piel y de besos llenará
los vacíos que dejaste ?  amarme quién se atreverá ? 
si preguntan yo estoy bien pero es por aparentar
la sonrisa que hoy me cargo es de tristeza y soledad
no sé si se lo deje al tiempo
ya no confío ni en mi sombra
solo pocos me entenderán
si hasta la mente me traiciona
cuando por fin el cora
se siente cerca de olvidar
y hablando a solas
con la botella he llegado a pensar
por qué te sigo guardando un lugar
si estás tan lejos de quererme cerquita
y hablando a solas
con la botella he llegado a pensar
si pierdo mi orgullo y te voy a buscar
borracho y lloro
porque sé bien que sobrio
no me lo voy a perdonar
no sé si se lo deje al tiempo
ya no confío ni en mi sombra
solo pocos me entenderán
si hasta la mente me traiciona
cuando por fin el cora
se siente cerca de olvidar
y hablando a solas
con la botella he llegado a pensar
por qué te sigo guardando un lugar
si estás tan lejos de quererme cerquita
y hablando a solas
con la botella he llegado a pensar
si pierdo mi orgullo y te voy a buscar
borracho y lloro
porque sé bien que sobrio
no me lo voy a perdonar"
55,A Todos Los Santos,Los Humildes,"no puedo
creer
que tengas
el valor
de venir
a buscarme
y ofrecer
tu cuerpo
como recompensa
para perdonarte
no hace
que me olvide
que me abandonaste
cuando más
te amaba
pero
es imposible
borrar
de mi mente
lo que
yo he sufrido
cuando tu
no estabas
quería
morirme
cuando
me topaba
con nuestros
amigos
me daba
vergüenza
si me preguntaban
que paso
contigo
siempre
te inventaba
viajes
por el mundo
y que pronto
volvías
y al final
de tantas
piadosas
mentiras
al darme
la vuelta
de mi
se reían
te mate
mil veces
pero
mi conciencia
te resucitaba
me ganaba
el miedo
de causarte
daño
porque
te adoraba
era necesario
recordarte
a diario
para seguir
vivo
estaba seguro
que tu intentarías
regresar
conmigo
mientras
yo sufría
tú te divertias
hasta
la locura
te fuiste
con otro
que solo
quería
de ti
una aventura
y hoy
que vuelvo
a verte
se rompió
el hechizo
se acabo
el encanto
y no
te perdono
ni vuelvo
contigo
ni aunque
te le hincaras
a todos
los santos
quería
morirme
cuando
me topaba
con nuestros
amigos
me daba
vergüenza
si me preguntaban
que paso
contigo
siempre
te inventaba
viajes
por el mundo
y que pronto
volvías
y al final
de tantas
piadosas
mentiras
al darme
la vuelta
de mi
se reían
te mate
mil veces
pero
mi conciencia
te resucitaba
me ganaba
el miedo
de causarte
daño
porque
te adoraba
era necesario
recordarte
a diario
para seguir
vivo
estaba seguro
que tu intentarías
regresar
conmigo
mientras
yo sufría
tú te divertias
hasta
la locura
te fuiste
con otro
que solo
quería
de ti
una aventura
y hoy
que vuelvo
a verte
se rompió
el hechizo
se acabo
el encanto
y no
te perdono
ni vuelvo
contigo
ni aunque
te le hincaras
a todos
los santos"
56,A Traves de Tus Ojos,Sangre Felina,"déjame
abrazarme
a tu cintura
porque
el corazón
está sintiendo
el final
déjame
llenarme
de ternura
bésame
los labios
sin decirme
que te iras
tú que
me diste
demasiado
y sin pedirme
nada
a cambio
no comprendo
porque
te vas
a ir
si siempre
fuimos
tan feliz
a través
de tus ojos
pude conocer
el verdadero
amor
pude conocer
un mundo
de ilusión
a través
de tus ojos
siempre
había
un destino
lleno
de pasión
nada
nos faltaba
para ser
mejor
y a través
de tus ojos
hoy
solo
existe
un adiós
déjame
llenarme
de ternura
bésame
los labios
sin decirme
que te irás
tú que
me diste
demasiado
y sin pedirme
nada
a cambio
no comprendo
porque
te vas
a ir
si siempre
fuimos
tan feliz
a través
de tus ojos
pude conocer
el verdadero
amor
pude conocer
un mundo
de ilusión
a través
de tus ojos
siempre
había
un destino
lleno
de pasión
nada
nos faltaba
para ser
mejor
y a través
de tus ojos
hoy
solo
existe
un adiós"
